,District,Neighborhood,Furnished,Available for Loan,Elevator,Household appliances,Air conditioning,Terrace,Washing Machine,Laundry room,Closed Garage,Parking Lot,Kitchen,Next to sea shore,Hospital,High school,Market,Police station,Gym,Primary School-Secondary School,Highway,Airport,Metro,Bus stop,Sea,City,Top floor,Ground floor,sqrt_m2,totalrooms,buildingage,floorloc,numberoffloors,bathroom_count,has_balcony,heating_grouped,distgrouped,price_updated,district_encoded,price_per_m2,security_features,water_features,cephe_yonu,toplam_cephe,sanitasyon_score,banyo_durumu,havuz_tipi,havuz_var,luxury_pool_score,is_smart_home,luxury_score,smart_home_impact
2643,Ataşehir,İçerenköy Mh.,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.488088481701515,4.0,18.0,3.0,5,1,0.0,natural_gas,Ataşehir,8700000.0,663389.644803229,79090.90909090909,0,0,West,0,0,yok,havuz_yok,0,0,0,0.0,13698890.517431868
2644,Ataşehir,Mevlana Mah.,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.488088481701515,4.0,23.0,11.0,15,1,1.0,natural_gas,Ataşehir,9600000.0,663389.644803229,87272.72727272728,0,0,West,0,0,yok,havuz_yok,0,0,0,0.0,13698890.517431868
2645,Avcılar,Ambarlı Mh.,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.746794344808963,3.0,18.0,3.0,5,1,1.0,natural_gas,Avcılar,7000000.0,423310.2821031345,73684.21052631579,0,0,West,0,0,yok,havuz_yok,0,0,0,0.0,13698890.517431868
2646,Avcılar,Cihangir Mah.,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,3.0,18.0,5.0,6,1,1.0,natural_gas,Avcılar,3460000.0,423310.2821031345,34600.0,0,0,West,0,0,yok,havuz_yok,0,0,0,0.0,13698890.517431868
2647,Avcılar,Denizköşkler Mh.,No,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.14889156509222,3.0,1.0,3.0,6,1,1.0,natural_gas,Avcılar,9700000.0,423310.2821031345,94174.7572815534,0,0,West,0,0,yok,havuz_yok,0,0,0,0.0,13698890.517431868
2648,Avcılar,Denizköşkler Mh.,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.246950765959598,3.0,28.0,4.0,5,1,1.0,natural_gas,Avcılar,5980000.0,423310.2821031345,56952.38095238096,0,0,West,0,0,yok,havuz_yok,0,0,0,0.0,13698890.517431868
2649,Avcılar,Denizköşkler Mh.,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.180339887498947,3.0,4.0,0.5,4,1,1.0,natural_gas,Avcılar,7500000.0,423310.2821031345,60000.0,0,0,West,0,0,yok,havuz_yok,0,0,0,0.0,13698890.517431868
2650,Avcılar,Gümüşpala Mh.,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,3.0,7.5,2.0,5,1,1.0,natural_gas,Avcılar,6900000.0,423310.2821031345,69000.0,0,0,West,0,0,yok,havuz_yok,0,0,0,0.0,13698890.517431868
2651,Avcılar,Merkez Mah.,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,4.0,4.0,0.5,4,1,1.0,natural_gas,Avcılar,6400000.0,423310.2821031345,64000.0,0,0,West,0,0,yok,havuz_yok,0,0,0,0.0,13698890.517431868
2652,Bağcılar,Kazım Karabekir Mh.,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,10.0,3.0,7.5,2.0,30,1,1.0,natural_gas,Bağcılar,6400000.0,422581.1141414141,64000.0,0,0,West,0,0,yok,havuz_yok,0,0,0,0.0,13698890.517431868
2653,Bağcılar,Kazım Karabekir Mh.,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,3.0,28.0,1.0,5,1,0.0,natural_gas,Bağcılar,4900000.0,422581.1141414141,49000.0,0,0,West,0,0,yok,havuz_yok,0,0,0,0.0,13698890.517431868
2654,Bağcılar,Merkez Mah.,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,3.0,7.5,2.0,30,1,1.0,natural_gas,Bağcılar,8000000.0,422581.1141414141,80000.0,0,0,West,0,0,yok,havuz_yok,0,0,0,0.0,13698890.517431868
2655,Bahçelievler,Kocasinan Merkez Mah.,No,Yes,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,10.816653826391969,4.0,7.5,-3.0,5,2,1.0,natural_gas,Bahçelievler,14300000.0,473090.3087790111,122222.22222222222,0,0,West,0,0,yok,havuz_yok,0,0,0,0.0,13698890.517431868
2656,Bakırköy,Yenimahalle Mah.,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.488088481701515,3.0,35.0,3.0,5,1,1.0,natural_gas,Bakırköy,10800000.0,2067155.5151515151,98181.81818181818,0,0,West,0,0,yok,havuz_yok,0,0,0,0.0,13698890.517431868
2657,Bayrampaşa,Yıldırım Mh.,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,3.0,0.0,1.0,7,1,0.0,natural_gas,Bayrampaşa,10360000.0,498019.5159629248,103600.0,0,0,West,0,0,yok,havuz_yok,0,0,0,0.0,13698890.517431868
2658,Beşiktaş,Mecidiye Mah.,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.488088481701515,3.0,18.0,4.0,5,1,1.0,natural_gas,Beşiktaş,13600000.0,3417575.7583756344,123636.36363636365,0,0,West,0,0,yok,havuz_yok,0,0,0,0.0,13698890.517431868
2659,Beşiktaş,Ortaköy Mh.,Unknown,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.488088481701515,3.0,18.0,3.0,30,1,1.0,natural_gas,Beşiktaş,11000000.0,3417575.7583756344,100000.0,0,0,West,0,0,yok,havuz_yok,0,0,0,0.0,13698890.517431868
2660,Beylikdüzü,Adnan Kahci Mah.,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.488088481701515,3.0,0.0,3.0,4,2,1.0,natural_gas,Beylikdüzü,7780000.0,417505.9584599797,70727.27272727272,0,0,West,0,0,yok,havuz_yok,0,0,0,0.0,13698890.517431868
2661,Beylikdüzü,Gürpınar Mh.,No,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,3.0,0.0,1.0,5,1,1.0,natural_gas,Beylikdüzü,7200000.0,417505.9584599797,72000.0,0,0,West,0,0,yok,havuz_yok,0,0,0,0.0,13698890.517431868
2662,Beylikdüzü,Marmara Mah.,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.746794344808963,3.0,7.5,6.0,9,1,1.0,natural_gas,Beylikdüzü,7800000.0,417505.9584599797,82105.26315789473,0,0,West,0,0,yok,havuz_yok,0,0,0,0.0,13698890.517431868
2663,Beyoğlu,Küçük Piyale Mh.,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,4.0,23.0,3.0,5,1,0.0,natural_gas,Beyoğlu,7600000.0,1153020.0825593397,76000.0,0,0,West,0,0,yok,havuz_yok,0,0,0,0.0,13698890.517431868
2664,Beyoğlu,Tomtom Mah.,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,10.0,4.0,35.0,2.0,4,1,0.0,natural_gas,Beyoğlu,14000000.0,1153020.0825593397,140000.0,0,0,West,0,0,yok,havuz_yok,0,0,0,0.0,13698890.517431868
2665,Büyükçekmece,Fatih Mah.,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,3.0,28.0,2.0,30,1,1.0,natural_gas,Büyükçekmece,8000000.0,615087.9777777778,80000.0,0,0,West,0,0,yok,havuz_yok,0,0,0,0.0,13698890.517431868
2666,Çatalca,Ferhatpaşa Mh.,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.488088481701515,4.0,7.5,0.5,5,2,1.0,natural_gas,Other,3700000.0,336206.1359649123,33636.36363636364,0,0,West,0,0,yok,havuz_yok,0,0,0,0.0,13698890.517431868
2667,Çatalca,Ferhatpaşa Mh.,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.246950765959598,3.0,23.0,4.0,4,1,1.0,natural_gas,Other,3800000.0,336206.1359649123,36190.47619047619,0,0,West,0,0,yok,havuz_yok,0,0,0,0.0,13698890.517431868
2668,Çatalca,Kaleiçi Mh.,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,3.0,1.0,3.0,5,1,1.0,natural_gas,Other,7600000.0,336206.1359649123,76000.0,0,0,West,0,0,yok,havuz_yok,0,0,0,0.0,13698890.517431868
2669,Çekmeköy,Cumhuriyet Mah.,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.746794344808963,3.0,0.0,3.0,8,1,1.0,natural_gas,Çekmeköy,6200000.0,378758.4229607251,65263.15789473684,0,0,West,0,0,yok,havuz_yok,0,0,0,0.0,13698890.517431868
2670,Çekmeköy,Çamlık Mh.,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.246950765959598,3.0,13.0,1.0,5,2,1.0,natural_gas,Çekmeköy,6100000.0,378758.4229607251,58095.23809523809,0,0,West,0,0,yok,havuz_yok,0,0,0,0.0,13698890.517431868
2671,Çekmeköy,Güngören Mh.,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.099504938362076,3.0,3.0,0.0,8,1,0.0,natural_gas,Çekmeköy,5300000.0,378758.4229607251,51960.78431372549,0,0,West,0,0,yok,havuz_yok,0,0,0,0.0,13698890.517431868
2672,Çekmeköy,Mehmet Akif Ersoy Mah.,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.246950765959598,3.0,0.0,1.0,5,1,0.0,natural_gas,Çekmeköy,7000000.0,378758.4229607251,66666.66666666667,0,0,West,0,0,yok,havuz_yok,0,0,0,0.0,13698890.517431868
